Name: 深圳卫视, URL: http://183.147.175.107:8888/rtp/233.50.201.45:5140, Date: 2024-10-09, Resolution: None, Response Time: 232 ms
Name: 深圳卫视, URL: http://122.238.2.91:4022/rtp/233.50.201.45:5140, Date: 2024-10-08, Resolution: None, Response Time: 254 ms
Name: 深圳卫视, URL: http://180.119.183.126:8800/rtp/239.49.8.145:6000, Date: 2024-10-09, Resolution: None, Response Time: 269 ms
Name: 深圳卫视, URL: http://180.103.165.67:8888/rtp/239.49.8.145:6000, Date: 2024-09-23, Resolution: None, Response Time: 273 ms
Name: 深圳卫视, URL: http://180.103.165.67:8888/rtp/239.49.8.145:6000, Date: 2024-09-23, Resolution: None, Response Time: 273 ms
Name: 深圳卫视, URL: http://49.83.246.192:7000/rtp/239.49.8.145:6000, Date: 2024-10-09, Resolution: None, Response Time: 296 ms
Name: 深圳卫视, URL: http://60.189.61.82:9999/rtp/233.50.201.45:5140, Date: 2024-10-08, Resolution: None, Response Time: 296 ms
Name: 深圳卫视, URL: http://60.189.61.82:9999/rtp/233.50.201.45:5140, Date: 2024-10-08, Resolution: None, Response Time: 296 ms
Name: 深圳卫视, URL: http://125.119.20.149:9999/rtp/233.50.201.45:5140, Date: 2024-10-09, Resolution: None, Response Time: 302 ms
Name: 深圳卫视, URL: http://106.111.89.182:8866/rtp/239.49.8.145:6000, Date: 2024-10-04, Resolution: None, Response Time: 314 ms
Name: 深圳卫视, URL: http://183.141.108.191:8888/rtp/233.50.201.45:5140, Date: 2024-10-08, Resolution: None, Response Time: 322 ms
Name: 深圳卫视, URL: http://171.119.205.235:6001/rtp/226.0.2.47:8288, Date: 2024-10-09, Resolution: None, Response Time: 351 ms
Name: 深圳卫视, URL: http://219.157.255.62:8888/rtp/225.1.4.23:1052, Date: 2024-10-09, Resolution: None, Response Time: 352 ms
Name: 深圳卫视, URL: http://218.93.156.115:8888/rtp/239.49.8.145:6000, Date: 2024-10-09, Resolution: None, Response Time: 356 ms
Name: 深圳卫视, URL: http://171.125.90.105:6001/rtp/226.0.2.47:8288, Date: 2024-10-09, Resolution: None, Response Time: 357 ms
Name: 深圳卫视, URL: http://114.232.24.128:8888/rtp/239.49.8.145:6000, Date: 2024-10-04, Resolution: None, Response Time: 360 ms
Name: 深圳卫视, URL: http://114.232.24.128:8888/rtp/239.49.8.145:6000, Date: 2024-10-04, Resolution: None, Response Time: 360 ms
Name: 深圳卫视, URL: http://171.125.90.159:6001/rtp/226.0.2.47:8288, Date: 2024-10-09, Resolution: None, Response Time: 373 ms
Name: 深圳卫视, URL: http://117.93.210.226:8800/rtp/239.49.8.145:6000, Date: 2024-10-09, Resolution: None, Response Time: 375 ms
Name: 深圳卫视, URL: http://121.227.3.248:5555/rtp/239.49.8.145:6000, Date: 2024-10-05, Resolution: None, Response Time: 375 ms
Name: 深圳卫视, URL: http://58.219.246.68:4001/rtp/239.49.8.145:6000, Date: 2024-10-05, Resolution: None, Response Time: 375 ms
Name: 深圳卫视, URL: http://49.76.186.70:8800/rtp/239.49.8.145:6000, Date: 2024-09-23, Resolution: None, Response Time: 375 ms
Name: 深圳卫视, URL: http://222.95.92.12:4000/rtp/239.49.8.145:6000, Date: 2024-09-14, Resolution: None, Response Time: 375 ms
Name: 深圳卫视, URL: http://49.86.222.102:8888/rtp/239.49.8.145:6000, Date: 2024-10-09, Resolution: None, Response Time: 375 ms
Name: 深圳卫视, URL: http://58.219.141.207:4001/rtp/239.49.8.145:6000, Date: 2024-09-23, Resolution: None, Response Time: 375 ms
Name: 深圳卫视, URL: http://49.76.186.70:8800/rtp/239.49.8.145:6000, Date: 2024-09-23, Resolution: None, Response Time: 375 ms
Name: 深圳卫视, URL: http://114.225.190.118:8800/rtp/239.49.8.145:6000, Date: 2024-09-23, Resolution: None, Response Time: 375 ms
Name: 深圳卫视, URL: http://222.95.92.12:4000/rtp/239.49.8.145:6000, Date: 2024-09-14, Resolution: None, Response Time: 375 ms
Name: 深圳卫视, URL: http://59.173.243.210:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 478 ms
Name: 深圳卫视, URL: http://59.173.243.210:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 478 ms
Name: 深圳卫视, URL: http://119.163.199.98:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 481 ms
Name: 深圳卫视, URL: http://61.136.67.238:50085/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 481 ms
Name: 深圳卫视, URL: http://61.136.172.236:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 483 ms
Name: 深圳卫视, URL: http://61.136.172.236:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 483 ms
Name: 深圳卫视, URL: http://58.48.37.158:1111/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 485 ms
Name: 深圳卫视, URL: http://58.48.37.158:1111/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 485 ms
Name: 深圳卫视, URL: http://125.93.74.27:9002/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 488 ms
Name: 深圳卫视, URL: http://125.93.74.27:9002/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 488 ms
Name: 深圳卫视, URL: http://202.100.46.58:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 498 ms
Name: 深圳卫视, URL: http://58.48.5.186:1111/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 508 ms
Name: 深圳卫视, URL: http://123.129.70.178:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 508 ms
Name: 深圳卫视, URL: http://58.48.5.186:1111/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 508 ms
Name: 深圳卫视, URL: http://123.129.70.178:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 508 ms
Name: 深圳卫视, URL: http://110.189.102.15:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 510 ms
Name: 深圳卫视, URL: http://58.57.21.166:9901/tsfile/live/0126_1.m3u8, Date: None, Resolution: None, Response Time: 511 ms
Name: 深圳卫视, URL: http://202.100.46.58:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 512 ms
Name: 深圳卫视, URL: http://202.100.46.58:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 512 ms
